1.00 	0.10 	0.10 	0.60 	0.01 	0.65 
1.00 	0.15 	0.20 	1.20 	0.05 	0.70 
1.00 	0.20 	0.30 	0.80 	0.04 	0.75 
1.00 	0.25 	0.15 	1.40 	0.03 	0.80 
1.00 	0.30 	0.25 	1.00 	0.02 	0.85 
1.20 	0.10 	0.30 	1.20 	0.03 	0.85 
1.20 	0.15 	0.15 	0.80 	0.02 	0.65 
1.20 	0.20 	0.25 	1.40 	0.01 	0.70 
1.20 	0.25 	0.10 	1.00 	0.05 	0.75 
1.20 	0.30 	0.20 	0.60 	0.04 	0.80 
1.40 	0.10 	0.25 	0.80 	0.05 	0.80 
1.40 	0.15 	0.10 	1.40 	0.04 	0.85 
1.40 	0.20 	0.20 	1.00 	0.03 	0.65 
1.40 	0.25 	0.30 	0.60 	0.02 	0.70 
1.40 	0.30 	0.15 	1.20 	0.01 	0.75 
1.60 	0.10 	0.20 	1.40 	0.02 	0.75 
1.60 	0.15 	0.30 	1.00 	0.01 	0.80 
1.60 	0.20 	0.15 	0.60 	0.05 	0.85 
1.60 	0.25 	0.25 	1.20 	0.04 	0.65 
1.60 	0.30 	0.10 	0.80 	0.03 	0.70 
1.80 	0.10 	0.15 	1.00 	0.04 	0.70 
1.80 	0.15 	0.25 	0.60 	0.03 	0.75 
1.80 	0.20 	0.10 	1.20 	0.02 	0.80 
1.80 	0.25 	0.20 	0.80 	0.01 	0.85 
1.80 	0.30 	0.30 	1.40 	0.05 	0.65 
